id,city_id,roads_ratio,fold_id
SN3_roads_train_AOI_2_Vegas_PS-MS_img286,AOI_2_Vegas,0.0,0
SN3_roads_train_AOI_2_Vegas_PS-MS_img200,AOI_2_Vegas,0.0,1
SN3_roads_train_AOI_2_Vegas_PS-MS_img614,AOI_2_Vegas,0.0,2
SN3_roads_train_AOI_2_Vegas_PS-MS_img505,AOI_2_Vegas,0.0,3
SN3_roads_train_AOI_2_Vegas_PS-MS_img1448,AOI_2_Vegas,0.0,4
SN3_roads_train_AOI_2_Vegas_PS-MS_img537,AOI_2_Vegas,0.0,0
SN3_roads_train_AOI_2_Vegas_PS-MS_img1159,AOI_2_Vegas,0.0,1
SN3_roads_train_AOI_2_Vegas_PS-MS_img1488,AOI_2_Vegas,0.0,2
SN3_roads_train_AOI_2_Vegas_PS-MS_img574,AOI_2_Vegas,0.0,3
SN3_roads_train_AOI_2_Vegas_PS-MS_img1534,AOI_2_Vegas,0.0,4
SN3_roads_train_AOI_2_Vegas_PS-MS_img42,AOI_2_Vegas,0.0,0
SN3_roads_train_AOI_2_Vegas_PS-MS_img234,AOI_2_Vegas,0.0,1
SN3_roads_train_AOI_2_Vegas_PS-MS_img654,AOI_2_Vegas,0.00027337278106508877,2
SN3_roads_train_AOI_2_Vegas_PS-MS_img1614,AOI_2_Vegas,0.0006668639053254438,3
SN3_roads_train_AOI_2_Vegas_PS-MS_img1612,AOI_2_Vegas,0.0008544378698224852,4
SN3_roads_train_AOI_2_Vegas_PS-MS_img1413,AOI_2_Vegas,0.0009810650887573965,0
SN3_roads_train_AOI_2_Vegas_PS-MS_img1620,AOI_2_Vegas,0.0012053254437869824,1
SN3_roads_train_AOI_2_Vegas_PS-MS_img1333,AOI_2_Vegas,0.0015420118343195267,2
SN3_roads_train_AOI_2_Vegas_PS-MS_img1633,AOI_2_Vegas,0.0019449704142011834,3
SN3_roads_train_AOI_2_Vegas_PS-MS_img217,AOI_2_Vegas,0.0020272189349112425,4
SN3_roads_train_AOI_2_Vegas_PS-MS_img1619,AOI_2_Vegas,0.0022189349112426036,0
SN3_roads_train_AOI_2_Vegas_PS-MS_img1623,AOI_2_Vegas,0.0024662721893491126,1
SN3_roads_train_AOI_2_Vegas_PS-MS_img1622,AOI_2_Vegas,0.0025136094674556215,2
SN3_roads_train_AOI_2_Vegas_PS-MS_img1627,AOI_2_Vegas,0.002568639053254438,3
SN3_roads_train_AOI_2_Vegas_PS-MS_img1638,AOI_2_Vegas,0.0027520710059171596,4
SN3_roads_train_AOI_2_Vegas_PS-MS_img1635,AOI_2_Vegas,0.002830769230769231,0
SN3_roads_train_AOI_2_Vegas_PS-MS_img1636,AOI_2_Vegas,0.0029035502958579882,1
SN3_roads_train_AOI_2_Vegas_PS-MS_img1634,AOI_2_Vegas,0.004250887573964497,2
SN3_roads_train_AOI_2_Vegas_PS-MS_img1253,AOI_2_Vegas,0.004392899408284023,3
SN3_roads_train_AOI_2_Vegas_PS-MS_img499,AOI_2_Vegas,0.004452662721893491,4
SN3_roads_train_AOI_2_Vegas_PS-MS_img183,AOI_2_Vegas,0.004584023668639053,0
SN3_roads_train_AOI_2_Vegas_PS-MS_img68,AOI_2_Vegas,0.0047893491124260355,1
SN3_roads_train_AOI_2_Vegas_PS-MS_img734,AOI_2_Vegas,0.004821301775147929,2
SN3_roads_train_AOI_2_Vegas_PS-MS_img105,AOI_2_Vegas,0.005098224852071006,3
SN3_roads_train_AOI_2_Vegas_PS-MS_img1640,AOI_2_Vegas,0.005256804733727811,4
SN3_roads_train_AOI_2_Vegas_PS-MS_img1615,AOI_2_Vegas,0.00534792899408284,0
SN3_roads_train_AOI_2_Vegas_PS-MS_img1616,AOI_2_Vegas,0.005620118343195266,1
SN3_roads_train_AOI_2_Vegas_PS-MS_img1637,AOI_2_Vegas,0.005918934911242604,2
SN3_roads_train_AOI_2_Vegas_PS-MS_img1626,AOI_2_Vegas,0.006261538461538462,3
SN3_roads_train_AOI_2_Vegas_PS-MS_img1119,AOI_2_Vegas,0.0063195266272189346,4
SN3_roads_train_AOI_2_Vegas_PS-MS_img1293,AOI_2_Vegas,0.007273372781065089,0
